,0,1,2,3,4,5,6,7,8,9,10,11
0,1,Kyle SMITH (#8),03:49:23,"NZL
																							|","Pro
(1)","Male 
													(1)",00:23:25,00:03:29,02:07:33,00:01:01,01:13:54,
1,2,Max NEUMANN (#2),03:49:43,"AUS
																							|","Pro
(2)","Male 
													(2)",00:23:28,00:03:30,02:07:46,00:01:09,01:13:48,
2,3,Hayden WILDE (#5),03:52:39,"NZL
																							|","Pro
(3)","Male 
													(3)",00:23:32,00:03:42,02:12:24,00:00:50,01:12:08,
3,4,Jack MOODY (#6),03:56:56,"NZL
																							|","Pro
(4)","Male 
													(4)",00:25:39,00:03:50,02:14:18,00:01:05,01:12:03,
4,5,Jakub LANGHAMMER (#15),03:59:17,"CZE
																							|","Pro
(5)","Male 
													(5)",00:25:20,00:03:45,02:13:19,00:01:04,01:15:47,
5,6,Levi MAXWELL (#10),03:59:34,"AUS
																							|","Pro
(6)","Male 
													(6)",00:25:18,00:03:44,02:13:28,00:01:02,01:16:01,
6,7,Olly SHAW (#7),04:02:46,"NZL
																							|","Pro
(7)","Male 
													(7)",00:26:14,00:03:50,02:13:30,00:01:03,01:18:08,
7,8,Sam TEBECK (#16),04:03:56,"AUS
																							|","Pro
(8)","Male 
													(8)",00:25:18,00:03:58,02:12:56,00:01:14,01:20:28,
8,9,Matt KERR (#154),04:08:44,"NZL
																							|","25-29
(1)","Male 
													(9)",00:25:27,00:04:41,02:12:28,00:01:22,01:24:44,
9,10,Simon HEARN (#14),04:09:58,"AUS
																							|","Pro
(9)","Male 
													(10)",00:25:16,00:03:53,02:20:01,00:01:35,01:19:11,
10,11,James HAMMOND (#227),04:10:55,"NZL
																							|","35-39
(1)","Male 
													(11)",00:27:16,00:04:16,02:16:38,00:01:07,01:21:35,
11,12,Andrew LLOYD (#424),04:11:08,"NZL
																							|","25-29
(2)","Male 
													(12)",00:26:41,00:04:23,02:12:29,00:02:06,01:25:27,
12,13,David MARTIN (#316),04:12:48,"CZE
																							|","18-24
(1)","Male 
													(13)",00:23:31,00:04:24,02:17:19,00:01:02,01:26:31,
13,14,Lucas DUROSS (#151),04:15:16,"NZL
																							|","18-24
(2)","Male 
													(14)",00:28:32,00:05:08,02:18:15,00:01:19,01:22:00,
14,15,Brendon BERGS (#298),04:16:23,"NZL
																							|","18-24
(3)","Male 
													(15)",00:27:23,00:04:08,02:15:09,00:01:38,01:28:04,
15,16,Jacob HENDRICKX (#540),04:16:29,"NZL
																							|","30-34
(1)","Male 
													(16)",00:30:06,00:04:07,02:21:40,00:00:57,01:19:37,
16,17,Matthew BROWN (#159),04:16:58,"GBR
																							|","30-34
(2)","Male 
													(17)",00:27:12,00:04:41,02:19:27,00:01:09,01:24:28,
17,18,Graham O'GRADY (#169),04:17:39,"NZL
																							|","35-39
(2)","Male 
													(18)",00:25:08,00:04:31,02:18:43,00:01:10,01:28:05,
18,19,Brodie MADGWICK (#100),04:19:06,"NZL
																							|","40-44
(1)","Male 
													(19)",00:27:40,00:04:20,02:21:17,00:01:34,01:24:12,
19,20,Mack KENNEDY (#56),04:19:48,"AUS
																							|","30-34
(3)","Male 
													(20)",00:28:09,00:05:02,02:19:21,00:01:13,01:26:00,
20,21,Nicholas FINCH (#414),04:20:23,"AUS
																							|","25-29
(3)","Male 
													(21)",00:30:01,00:05:18,02:17:22,00:01:21,01:26:19,
21,22,Ethan WIGHT (#288),04:20:27,"AUS
																							|","18-24
(4)","Male 
													(22)",00:28:51,00:04:16,02:13:11,00:01:26,01:32:42,
22,23,Gregory BASSAM (#523),04:20:37,"NZL
																							|","30-34
(4)","Male 
													(23)",00:30:30,00:04:42,02:19:24,00:01:19,01:24:39,
23,24,Fred HOUSHAM (#102),04:21:03,"NZL
																							|","40-44
(2)","Male 
													(24)",00:30:15,00:05:40,02:20:56,00:02:06,01:22:05,
24,25,Jason SCHOEMAN (#57),04:21:26,"NZL
																							|","30-34
(5)","Male 
													(25)",00:32:05,00:04:44,02:18:27,00:00:56,01:25:12,
25,26,Hannah WELLS (#20),04:21:45,"NZL
																							|","Pro
(1)","Female 
													(1)",00:26:56,00:04:12,02:24:57,00:01:03,01:24:35,
26,27,George MCDONALD (#443),04:22:14,"NZL
																							|","25-29
(4)","Male 
													(26)",00:29:55,00:05:08,02:21:48,00:01:00,01:24:21,
27,28,Travis COLEMAN (#11),04:22:18,"AUS
																							|","Pro
(10)","Male 
													(27)",00:25:14,00:03:55,02:27:20,00:01:08,01:24:39,
28,29,Luca KILLICK (#53),04:23:23,"NZL
																							|","25-29
(5)","Male 
													(28)",00:32:24,00:04:44,02:20:07,00:01:13,01:24:53,
29,30,Michael GRAIN (#88),04:24:21,"NZL
																							|","30-34
(6)","Male 
													(29)",00:28:23,00:05:36,02:17:55,00:01:57,01:30:28,
30,31,Felicity SHEEDY-RYAN (#33),04:24:51,"AUS
																							|","Pro
(2)","Female 
													(2)",00:25:43,00:04:03,02:31:25,00:01:01,01:22:37,
31,32,Paul PRESTON (#55),04:24:55,"NZL
																							|","30-34
(7)","Male 
													(30)",00:29:11,00:04:47,02:21:56,00:01:20,01:27:40,
32,33,Daniel JONES (#94),04:25:18,"NZL
																							|","35-39
(3)","Male 
													(31)",00:30:57,00:04:52,02:22:34,00:01:24,01:25:30,
33,34,Brendan ERSKINE (#226),04:26:09,"NZL
																							|","45-49
(1)","Male 
													(32)",00:31:37,00:04:39,02:20:22,00:01:24,01:28:05,
34,35,David HAUNSCHMIDT (#586),04:26:21,"NZL
																							|","30-34
(8)","Male 
													(33)",00:30:13,00:05:26,02:26:31,00:02:30,01:21:38,
35,36,Benedict YANZICK (#323),04:26:31,"NZL
																							|","18-24
(5)","Male 
													(34)",00:30:49,00:05:02,02:22:53,00:01:28,01:26:18,
36,37,Grace THEK (#23),04:26:41,"AUS
																							|","Pro
(3)","Female 
													(3)",00:26:50,00:04:26,02:30:27,00:01:01,01:23:55,
37,38,Liam MILLER (#286),04:26:51,"NZL
																							|","18-24
(6)","Male 
													(35)",00:26:48,00:04:07,02:26:31,00:01:04,01:28:18,
